CD,Incumbent,Party,Biden2020,Trump2020,Clinton2016,Trump2016,Obama2012,Romney2012
AK-AL,Don Young,(R),43.0,53.1,37.6,52.8,41.2,55.3
AL-01,Jerry Carl,(R),35.3,63.7,34.1,63.5,37.4,61.8
AL-02,Barry Moore,(R),35.1,63.9,33.0,64.9,36.4,62.9
AL-03,Mike Rogers,(R),33.7,65.3,32.3,65.3,36.8,62.3
AL-04,Robert Aderholt,(R),17.8,81.2,17.4,80.4,24.0,74.8
AL-05,Mo Brooks,(R),35.7,62.7,31.3,64.7,34.9,63.9
AL-06,Gary Palmer,(R),31.8,67.0,26.1,70.8,24.7,74.3
AL-07,Terri Sewell,(D),70.8,28.5,69.8,28.6,72.4,27.1
AR-01,Rick Crawford,(R),27.9,69.1,30.2,65.0,36.3,61.0
AR-02,French Hill,(R),44.3,53.1,41.7,52.4,42.9,54.7
AR-03,Steve Womack,(R),35.2,61.9,30.5,61.9,31.6,65.5
AR-04,Bruce Westerman,(R),29.6,67.7,31.3,64.2,35.9,61.8
AZ-01,Tom O'Halleran,(D),50.1,48.4,46.6,47.7,47.9,50.4
AZ-02,Ann Kirkpatrick,(D),54.5,43.9,49.6,44.7,48.4,49.9
AZ-03,Raúl Grijalva,(D),62.8,35.7,62.4,32.5,61.4,36.9
AZ-04,Paul Gosar,(R),30.6,68.0,27.5,67.7,31.0,67.2
AZ-05,Andy Biggs,(R),41.9,56.5,36.5,57.6,34.6,63.8
AZ-06,David Schweikert,(R),47.3,51.4,42.4,52.4,38.8,59.5
AZ-07,Ruben Gallego,(D),73.7,24.7,71.8,22.6,71.7,26.5
AZ-08,Debbie Lesko,(R),41.4,57.3,37.0,58.1,36.9,61.7
AZ-09,Greg Stanton,(D),60.8,37.3,54.7,38.4,51.1,46.6
CA-01,Doug LaMalfa,(R),41.1,56.4,36.5,56.2,40.3,56.6
CA-02,Jared Huffman,(D),73.7,23.9,69.0,23.3,69.0,27.0
CA-03,John Garamendi,(D),54.9,42.7,53.0,40.4,54.3,43.1
CA-04,Tom McClintock,(R),44.0,53.7,39.3,54.0,39.5,57.9
CA-05,Mike Thompson,(D),72.5,25.3,69.2,24.3,69.7,27.5
CA-06,Doris Matsui,(D),70.3,27.2,69.2,24.4,69.1,28.3
CA-07,Ami Bera,(D),55.7,41.9,52.3,40.9,50.8,46.8
CA-08,Jay Obernolte,(R),43.6,54.1,39.6,54.7,41.7,55.6
CA-09,Jerry McNerney,(D),57.9,39.9,56.6,38.0,57.8,40.1
CA-10,Josh Harder,(D),50.3,47.4,48.5,45.5,50.6,47.0
CA-11,Mark DeSaulnier,(D),74.3,23.6,71.5,22.7,67.6,30.0
CA-12,Nancy Pelosi,(D),86.1,11.9,86.2,8.7,84.1,12.5
CA-13,Barbara Lee,(D),88.9,9.0,87.4,6.8,87.5,9.0
CA-14,Jackie Speier,(D),77.7,20.5,76.9,18.2,74.2,23.6
CA-15,Eric Swalwell,(D),71.5,26.4,69.9,24.2,68.0,29.8
CA-16,Jim Costa,(D),58.8,38.9,58.0,36.4,58.6,39.4
CA-17,Ro Khanna,(D),72.5,25.6,73.9,20.5,71.9,25.5
CA-18,Anna Eshoo,(D),76.4,21.3,73.4,20.2,68.2,28.9
CA-19,Zoe Lofgren,(D),70.0,27.9,72.9,21.5,71.2,26.5
CA-20,Jimmy Panetta,(D),72.7,25.0,70.4,23.2,70.9,26.2
CA-21,David Valadao,(R),54.4,43.5,55.2,39.7,54.6,43.5
CA-22,Devin Nunes,(R),46.2,51.7,42.6,52.1,41.6,56.6
CA-23,Kevin McCarthy,(R),40.5,57.1,36.1,58.1,36.1,61.5
CA-24,Salud Carbajal,(D),60.7,36.9,56.7,36.5,54.1,43.1
CA-25,Mike Garcia,(R),54.0,43.9,50.3,43.6,47.9,49.7
CA-26,Julia Brownley,(D),61.4,36.5,57.9,36.0,54.0,43.7
CA-27,Judy Chu,(D),67.2,30.8,66.0,28.4,62.6,35.0
CA-28,Adam Schiff,(D),70.9,27.2,72.1,22.3,70.3,26.5
CA-29,Tony Cárdenas,(D),74.1,23.7,77.7,16.8,77.0,20.5
CA-30,Brad Sherman,(D),68.7,29.4,69.1,25.7,65.3,32.1
CA-31,Pete Aguilar,(D),58.8,38.9,57.7,36.6,57.2,40.6
CA-32,Grace Napolitano,(D),65.2,32.8,66.6,27.7,65.2,32.5
CA-33,Ted Lieu,(D),69.0,29.0,67.8,26.5,60.6,36.8
CA-34,Jimmy Gomez,(D),80.8,16.9,83.6,10.7,83.0,14.1
CA-35,Norma Torres,(D),65.1,32.6,67.7,26.9,67.4,30.6
CA-36,Raul Ruiz,(D),55.9,42.3,52.2,43.4,50.7,47.5
CA-37,Karen Bass,(D),84.3,13.8,85.7,9.6,84.9,12.7
CA-38,Linda Sánchez,(D),65.6,32.3,67.0,27.4,64.9,33.0
CA-39,Young Kim,(R),54.1,44.0,51.5,42.9,47.1,50.8
CA-40,Lucille Roybal-Allard,(D),77.1,20.6,82.2,12.8,81.5,16.5
CA-41,Mark Takano,(D),61.7,36.1,61.0,33.1,61.5,36.3
CA-42,Ken Calvert,(R),45.4,52.7,41.4,53.4,41.4,56.5
CA-43,Maxine Waters,(D),76.9,20.9,78.4,16.7,78.0,20.0
CA-44,Nanette Barragán,(D),78.4,19.2,83.0,12.3,84.7,13.6
CA-45,Katie Porter,(D),54.6,43.3,49.8,44.4,43.0,54.8
CA-46,Lou Correa,(D),64.3,33.5,66.3,27.9,61.4,36.2
CA-47,Alan Lowenthal,(D),62.5,35.3,62.6,31.0,60.0,37.5
CA-48,Michelle Steel,(R),49.7,48.3,47.9,46.2,43.0,54.7
CA-49,Mike Levin,(D),55.2,42.5,50.7,43.2,45.7,52.2
CA-50,Darrell Issa,(R),45.0,52.7,39.6,54.6,37.6,60.4
CA-51,Juan Vargas,(D),66.9,30.9,71.8,22.8,69.4,28.9
CA-52,Scott Peters,(D),63.4,34.2,58.1,35.6,52.1,45.7
CA-53,Sara Jacobs,(D),67.0,30.9,64.5,29.6,61.4,36.4
CO-01,Diana DeGette,(D),75.6,22.1,69.0,23.2,69.0,28.8
CO-02,Joe Neguse,(D),63.7,33.6,56.2,34.9,57.9,39.5
CO-03,Lauren Boebert,(R),46.1,51.6,40.0,52.0,45.8,51.8
CO-04,Ken Buck,(R),40.8,56.6,34.3,57.4,39.2,58.5
CO-05,Doug Lamborn,(R),41.8,54.7,33.2,57.2,38.3,59.1
CO-06,Jason Crow,(D),58.2,39.3,50.2,41.3,51.6,46.5
CO-07,Ed Perlmutter,(D),60.0,37.1,51.4,39.4,56.1,41.3
CT-01,John Larson,(D),63.3,35.3,59.4,36.3,63.3,35.6
CT-02,Joe Courtney,(D),54.5,43.5,48.7,45.8,55.9,42.6
CT-03,Rosa DeLauro,(D),59.9,38.8,55.9,40.4,62.6,36.3
CT-04,Jim Himes,(D),64.2,34.5,59.6,36.6,55.1,44.0
CT-05,Jahana Hayes,(D),54.6,43.9,49.9,45.8,53.5,45.3
DE-AL,Lisa Blunt Rochester,(D),58.8,39.8,53.4,41.9,58.6,40.0
FL-01,Matt Gaetz,(R),32.4,65.9,28.2,67.5,30.1,68.5
FL-02,Neal Dunn,(R),32.0,67.0,30.6,66.2,34.0,64.6
FL-03,Kat Cammack,(R),42.8,56.0,40.2,56.2,41.9,56.6
FL-04,John Rutherford,(R),38.9,59.9,34.1,62.1,32.8,66.1
FL-05,Al Lawson,(D),62.7,36.2,61.3,35.9,63.6,35.4
FL-06,Michael Waltz,(R),40.8,58.3,39.9,56.9,46.6,52.2
FL-07,Stephanie Murphy,(D),54.6,44.2,51.4,44.1,49.4,49.4
FL-08,Bill Posey,(R),40.6,58.3,37.7,58.4,42.1,56.6
FL-09,Darren Soto,(D),53.0,46.1,54.8,41.9,55.6,43.4
FL-10,Val Demings,(D),62.0,37.0,61.8,34.9,60.7,38.4
FL-11,Daniel Webster,(R),33.8,65.4,32.5,64.8,39.8,59.2
FL-12,Gus Bilirakis,(R),41.0,57.9,38.8,57.4,45.5,53.0
FL-13,Charlie Crist,(D),51.5,47.4,49.6,46.4,54.6,43.9
