FIPS,State,County,OUTZScore,OUTRank,FACTZScore,FACTRank
48001,Texas,Anderson,0.59,196,0.27,178
48003,Texas,Andrews,0.36,164,-0.14,76
48005,Texas,Angelina,0.48,182,0.05,125
48007,Texas,Aransas,0.94,217,-0.05,100
48009,Texas,Archer,-0.48,50,-0.43,28
48011,Texas,Armstrong,,NR,,NR
48013,Texas,Atascosa,0.16,141,0.28,181
48015,Texas,Austin,-0.29,75,-0.32,46
48017,Texas,Bailey,-0.17,89,-0.05,99
48019,Texas,Bandera,-0.11,102,-0.27,52
48021,Texas,Bastrop,-0.58,39,0.02,112
48023,Texas,Baylor,0.54,189,-0.20,62
48025,Texas,Bee,-0.29,78,0.20,166
48027,Texas,Bell,-0.21,85,-0.31,47
48029,Texas,Bexar,-0.33,69,-0.25,54
48031,Texas,Blanco,-0.33,70,-0.45,27
48033,Texas,Borden,,NR,,NR
48035,Texas,Bosque,-0.22,84,0.10,136
48037,Texas,Bowie,0.58,194,-0.11,86
48039,Texas,Brazoria,-0.77,24,-0.49,21
48041,Texas,Brazos,-1.05,12,-0.53,18
48043,Texas,Brewster,-1.05,13,-0.40,36
48045,Texas,Briscoe,,NR,,NR
48047,Texas,Brooks,1.32,228,0.74,229
48049,Texas,Brown,0.58,193,0.03,114
48051,Texas,Burleson,0.02,123,0.09,134
48053,Texas,Burnet,-1.03,14,-0.28,51
48055,Texas,Caldwell,-0.46,52,0.23,173
48057,Texas,Calhoun,-0.37,62,-0.08,89
48059,Texas,Callahan,0.45,178,-0.41,31
48061,Texas,Cameron,-0.55,45,0.48,212
48063,Texas,Camp,0.45,177,0.27,179
48065,Texas,Carson,-0.47,51,-0.71,10
48067,Texas,Cass,1.01,222,0.29,185
48069,Texas,Castro,-0.69,29,0.09,131
48071,Texas,Chambers,-0.35,66,-0.21,59
48073,Texas,Cherokee,0.48,183,0.51,215
48075,Texas,Childress,-0.16,91,-0.12,83
48077,Texas,Clay,-0.10,103,-0.41,34
48079,Texas,Cochran,1.16,224,0.34,193
48081,Texas,Coke,0.93,216,-0.11,85
48083,Texas,Coleman,0.85,212,0.11,139
48085,Texas,Collin,-1.61,3,-1.33,1
48087,Texas,Collingsworth,0.05,129,0.04,118
48089,Texas,Colorado,-0.56,44,-0.13,77
48091,Texas,Comal,-1.02,15,-0.76,9
48093,Texas,Comanche,0.01,122,0.15,150
48095,Texas,Concho,-0.07,110,0.19,158
48097,Texas,Cooke,0.04,126,-0.18,67
48099,Texas,Coryell,-0.31,74,-0.35,42
48101,Texas,Cottle,,NR,,NR
48103,Texas,Crane,0.12,136,-0.18,66
48105,Texas,Crockett,-0.36,64,0.04,120
48107,Texas,Crosby,0.18,147,0.27,177
48109,Texas,Culberson,,NR,,NR
48111,Texas,Dallam,0.29,156,-0.08,91
