Company Name,Business Name,Street Address,City,State Abbreviation,Zip Code,Telephone Number,Line of Business,Primary NAICS,Primary SIC,Sales Volume,Total Employees,Local Employees,Year Started
AMBITIOUS INK,,801 N 13TH ST,SAN JOSE,CA,951121527,4087103216,MISC PERSONAL SERVICES,812199,72990106,44191,5,5,2016
ANALOG 1,,34 S 1ST ST,SAN JOSE,CA,951132406,4082927766,MISC PERSONAL SERVICES,812199,72990106,66621,2,2,2008
ANTS TATTOO SJ INC,,15 TILLMAN AVE,SAN JOSE,CA,951262656,,MISC PERSONAL SERVICES,812199,72990106,18946,3,3,2021
APPROVED INK NOTARY,,3144 APPERSON RIDGE DR,SAN JOSE,CA,951483048,4082385381,MISC PERSONAL SERVICES,812199,72990106,32641,4,4,2015
ART OF THE HEART TATTOOS,,237 W MAIN AVE,MORGAN HILL,CA,950374533,4086124006,MISC PERSONAL SERVICES,812199,72990106,96535,3,3,2016
ATHELITE,,723 RIVER FALLS DR,SAN JOSE,CA,951112556,4085350257,MISC PERSONAL SERVICES,812199,72990106,36027,1,1,1997
BELIEVINK TATTOO STUDIO,,8620 SAN YSIDRO AVE # 136,GILROY,CA,950203663,4086428205,MISC PERSONAL SERVICES,812199,72990106,18946,4,4,2015
BLACKSUIT TATTOO,,17 S 2ND ST,SAN JOSE,CA,951132502,4086485501,MISC PERSONAL SERVICES,812199,72990106,49379,3,3,2016
BODY EXOTIC INC,,957 W SAN CARLOS ST,SAN JOSE,CA,951263437,4089939684,MISC PERSONAL SERVICES,812199,72990106,178522,5,5,1995
BODY JEWLZ,,2855 STEVENS CREEK BLVD # 2499,SANTA CLARA,CA,950506744,4082440334,MISC PERSONAL SERVICES,812199,72990106,55540,5,5,2013
"BRODERIE INK, LLC",,142 W CALAVERAS BLVD,MILPITAS,CA,950355202,,MISC PERSONAL SERVICES,812199,72990106,44623,4,4,2016
BULLDOG CORP INC,,285 S CAPITOL AVE,SAN JOSE,CA,951272844,4085370500,MISC PERSONAL SERVICES,812199,72990106,272270,4,4,2002
BULLDOG LIFESTYLES,,291 S CAPITOL AVE,SAN JOSE,CA,951272844,4087293600,MISC PERSONAL SERVICES,812199,72990106,302803,8,8,2001
CAMPBALL TATTOO SHOP,,1510 CAMDEN AVE,CAMPBELL,CA,950086784,4083405497,MISC PERSONAL SERVICES,812199,72990106,104809,4,4,2016
CHAPTER TATTOO,,409 E ARQUES AVE,SUNNYVALE,CA,940854406,,MISC PERSONAL SERVICES,812199,72990106,29311,4,4,2011
CRUZ CREATIONS TATTOO,,8620 SAN YSIDRO AVE # 136,GILROY,CA,950203663,,MISC PERSONAL SERVICES,812199,72990106,106451,5,5,2008
CRUZ TATTOO,,8395 FOREST ST,GILROY,CA,950204552,4087672219,MISC PERSONAL SERVICES,812199,72990106,41301,4,4,2017
CURRENT TATTOOING,,48 RACE ST,SAN JOSE,CA,951263130,4082886822,MISC PERSONAL SERVICES,812199,72990106,53884,2,2,2011
